Brand,Name,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,OS,VRAM,Price_VND
Dell,Dell Inspiron 16 5620,Intel Core i7 (12th Gen),Intel,0,16, DDR4 RAM,4.7,LCD,16.0,GeForce MX570,NVIDIA,512,0,65.0,Windows 11,2,29400000
ASUS,ASUS ROG Strix G15 G513RC-HN251WS,AMD Octa-Core Ryzen 7,AMD,32,16, DDR5 RAM ,4.7,LCD,15.6,GeForce RTX 3050,NVIDIA,1024,0,200.0,Windows 11,4,26547000
Lenovo,Lenovo ThinkBook 15,Intel Core i7 (11th Gen),Intel,0,16, DDR4 RAM,2.8,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 10,0,27450000
Microsoft,Microsoft Surface Pro 9,Intel Core i7 (12th Gen),Intel,0,16, LPDDR5 RAM,4.7,LCD,13.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,57897000
Lenovo,Lenovo Ideapad 520S,Intel Core i5 (7th Gen),Intel,0,4, DDR4 RAM,2.5,LED,14.0,GeForce 940MX,NVIDIA,64,1024,41.0,Windows 10,2,16709700
HP,HP 245 G9,AMD Dual-Core Ryzen 3,AMD,0,8, DDR4 RAM,2.6,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,DOS,0,7947000
ASUS,ASUS VivoBook Pro 14X OLED N7400PC-KM085TS,Intel Core i5 (11th Gen),Intel,0,16, DDR4 RAM,4.2,LED,14.0,GeForce RTX 3050,NVIDIA,1024,0,63.0,Windows 10,4,28767000
ASUS,ASUS VivoBook 15 OLED K513EA-L501TS,Intel Core i5 (11th Gen),Intel,0,8, DDR4 RAM,2.4,LED,15.6,Integrated Graphics,Intel,256,1024,65.0,Windows 10,0,18597000
Lenovo,Lenovo ThinkPad X1 Carbon,Intel Core i7 (11th Gen),Intel,16,16, LPDDR4X RAM ,2.8,LCD,14.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,67199700
Lenovo,Lenovo Thinkpad E14 Gen 2,Intel Core i5 (11th Gen),Intel,32,8, DDR4 RAM ,4.2,LCD,14.1,Integrated Graphics,Intel,512,0,65.0,DOS,0,21434700
Gigabyte,Gigabyte AORUS 5 KE4,Intel Core i7 (12th Gen),Intel,64,16, DDR4 RAM ,2.3,LCD,15.6,GeForce RTX 3060,NVIDIA,1024,0,65.0,Windows 11,6,61875000
Dell,Dell Alienware X14 R1,Intel Core i7 (12th Gen),Intel,32,16, LPDDR5 RAM ,3.4,LCD,14.0,GeForce RTX 3050,NVIDIA,512,0,65.0,Windows 11,4,50997000
ASUS,ASUS VivoBook Gaming F571LH-BQ436T,Intel Core i7 (10th Gen),Intel,0,8, DDR4 RAM,2.2,LCD,15.6,GeForce GTX 1650,NVIDIA,512,0,150.0,Windows 10,4,19797000
Acer,Acer Extensa EX215-54,Intel Core i3 (11th Gen) Processor,Intel,0,4, DDR4 RAM,2.5,LCD,15.6,Integrated Graphics,Intel,64,1024,65.0,Windows 10,0,10200000
Microsoft,Microsoft Surface Pro 9,Intel Core i5 (12th Gen),Intel,0,8, LPDDR5 RAM,4.2,LCD,13.0,Integrated Graphics,Intel,128,0,65.0,Windows 11,0,30897000
Dell,Dell G15-5510,Intel Core i5 (10th Gen),Intel,16,8, DDR4 RAM ,2.4,LCD,15.6,GeForce GTX 1650,NVIDIA,512,0,65.0,Windows 10,4,21567000
ASUS,ASUS ROG Zephyrus G14 GA402RJ-L8181WS,AMD Octa-Core Ryzen 7,AMD,0,16, DDR5 RAM,4.7,LCD,14.0,Radeon RX 6700S,AMD,1024,0,65.0,Windows 11,0,35997000
Lenovo,Lenovo V14 Gen 2,Intel Core i3 (11th Gen),Intel,0,8, DDR4 RAM,3.0,LCD,14.0,Integrated Graphics,Intel,256,0,65.0,DOS,0,9599700
HP,HP Victus 15-fa0187TX,Intel Core i7 (12th Gen),Intel,0,16, DDR4 RAM,4.7,LCD,15.6,GeForce RTX 3050,NVIDIA,1024,0,200.0,Windows 11,4,27450000
Lenovo,Lenovo Ideapad Gaming 3i 15IHU6,Intel Core i5 (11th Gen),Intel,16,16, DDR4 RAM ,3.1,LCD,15.6,GeForce GTX 1650,NVIDIA,512,0,135.0,Windows 11,4,16485000
MSI,MSI Modern 14 C11M-029IN,Intel Core i5 (11th Gen),Intel,0,16, DDR4 RAM,2.5,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,12297000
ASUS,ASUS VivoBook 15X OLED K3504VA-LK542WS,Intel Core i5 (13th Gen),Intel,0,16, DDR4 RAM,4.7,LED,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,19497000
Acer,Acer Nitro 5 AN515-45,AMD Hexa-Core Ryzen 5,AMD,32,16, DDR4 RAM ,3.3,LCD,15.6,GeForce RTX 3060,NVIDIA,512,1024,180.0,Windows 11,6,31799700
ASUS,ASUS ZenBook S13 OLED UM5302TA-LX502WS,AMD Hexa-Core Ryzen 5,AMD,0,16, LPDDR5 RAM,2.9,LED,13.3,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,33000000
Microsoft,Microsoft 5 Intel Evo  Surface 5,Intel Core i7 (12th Gen),Intel,0,16, LPDDR5X RAM,4.7,LCD,15.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,54897000
HP,HP ProBook 635 Aero G8,AMD Octa-Core Ryzen 7,AMD,0,8, DDR4 RAM,4.7,LCD,13.3,Integrated Graphics,AMD,512,0,53.0,Windows 10,0,30470700
ASUS,ASUS VivoBook Pro 15 OLED K6500ZE-L502WS,Intel Core i5 (12th Gen) Processor,Intel,0,16, LPDDR5 RAM,2.5,LED,15.6,GeForce RTX 3050 Ti,NVIDIA,512,0,65.0,Windows 11,4,28950000
ASUS,ASUS Zenbook 14 UM3402YA-KP741WS,AMD Octa-Core Ryzen 7,AMD,0,16, DDR5 RAM,4.2,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,23997000
ASUS,ASUS TUF Gaming A15 FA577XV-HQ036WS,AMD Octa-Core Ryzen 9,AMD,32,16, DDR5 RAM ,4.8,LCD,15.6,GeForce RTX 4060,NVIDIA,1024,0,240.0,Windows 11,8,52500000
HP,HP ENVY 15 ep1087TX,Intel Core i9 (11th Gen),Intel,0,32, DDR4 RAM,4.8,LED,15.6,GeForce RTX 3060,NVIDIA,1024,0,83.0,Windows 11,6,56820000
ASUS,ASUS VivoBook 15 OLED X1505VAU-LK544WS,Intel Core i5 (13th Gen),Intel,0,16, DDR4 RAM,4.7,LED,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,18897000
HP,HP 240 G8,Intel Core i3 (11th Gen),Intel,16,8, DDR4 RAM ,4.0,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,DOS,0,10683000
HP,HP ENVY 15-ep0011TX,Intel Core i5 (10th Gen),Intel,0,16, DDR4 RAM,2.5,LED,15.6,GeForce GTX 1650 Ti,NVIDIA,512,0,150.0,Windows 10,4,19197000
Acer,Acer Swift Go 14 SFG14-41,AMD Hexa-Core Ryzen 5,AMD,8,8, LPDDR4X RAM ,2.0,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,14997000
Dell,Dell Inspiron 16 7620,Intel Core i5 (12th Gen),Intel,32,16, DDR4 RAM ,2.8,LCD,16.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,29400000
HP,HP Spectre Intel Evo 16-f1003TU  x360 16-f1003TU,Intel Core i7 (12th Gen),Intel,0,16, DDR4 RAM,4.7,LCD,16.0,Integrated Graphics,Intel,512,0,83.0,Windows 11,0,43647000
Lenovo,Lenovo Legion S7 15ACH6,AMD Octa-Core Ryzen 7,AMD,0,16, DDR4 RAM,4.2,LCD,15.6,GeForce RTX 3060,NVIDIA,1024,0,71.0,Windows 11,6,42897000
Lenovo,Lenovo Thinkpad T14,Intel Core i5 (11th Gen) Processor,Intel,0,16, DDR4 RAM,2.5,LED,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 10,0,26099700
ASUS,ASUS Vivobook 14X K3405VF-LY541WS,Intel Core i5 (13th Gen),Intel,0,16, DDR4 RAM,2.6,LCD,14.0,GeForce RTX 2050,NVIDIA,512,0,90.0,Windows 11,4,20997000
ASUS,ASUS TUF Dash F15 FX517ZE-HN036WS,Intel Core i7 (12th Gen),Intel,0,16, DDR5 RAM,2.3,LCD,15.6,GeForce RTX 3050 Ti,NVIDIA,512,0,65.0,Windows 11,4,37498500
ASUS,ASUS ROG Strix G17 G713PV-LL065WS,AMD Hexadeca-Core Ryzen 9,AMD,32,16, DDR5 RAM ,4.8,LCD,17.3,GeForce RTX 4060,NVIDIA,1024,0,280.0,Windows 11,8,62997000
MSI,MSI GF63 Thin 12VE-080IN,Intel Core i5 (12th Gen),Intel,64,8, DDR4 RAM ,4.2,LCD,15.6,GeForce RTX 4050,NVIDIA,512,0,65.0,Windows 11,6,22497000
HP,HP Omen 16-wf0055TX,Intel Core i7 (13th Gen),Intel,0,16, DDR5 RAM,4.8,LCD,16.1,GeForce RTX 4060,NVIDIA,512,0,280.0,Windows 11,8,45597000
MSI,MSI Stealth 17 Studio A13VH-055IN,Intel Core i9 (13th Gen),Intel,64,64, DDR5 RAM ,4.8,LCD,17.3,GeForce RTX 4080,NVIDIA,2048,0,65.0,Windows 11,12,98996700
ASUS,ASUS Zenbook UX330UA-FB088T Ultrabook,Intel Core i7 (7th Gen),Intel,16,8, DDR3 RAM ,2.7,LCD,13.3,Integrated Graphics,Intel,512,0,45.0,Windows 10,0,28488000
Dell,Dell G5-5505,Intel Core i7 (10th Gen),Intel,0,8, DDR4 RAM,2.6,LCD,15.6,GeForce GTX 1650 Ti,NVIDIA,512,0,65.0,Windows 10,4,32997000
Microsoft,Microsoft Pro 8 Intel Evo  Surface Pro 8,Intel Core i7 (11th Gen),Intel,0,16, DDR4 RAM,2.2,LCD,13.0,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,38397000
Dell,Dell Inspiron 15 3511,Intel Core i5 (11th Gen),Intel,32,8, DDR4 RAM ,2.4,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 10,0,15597000
Lenovo,Lenovo Ideapad Slim 5 14ABA7,AMD Hexa-Core Ryzen 5,AMD,16,16, DDR4 RAM ,2.3,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,16069800
Lenovo,Lenovo Yoga 9i 14ITL5,Intel Core i7 (11th Gen),Intel,0,16, LPDDR4X RAM,3.0,LED,14.0,Integrated Graphics,Intel,1024,0,65.0,Windows 10,0,38699700
Lenovo,Lenovo Ideapad Slim 5i,Intel Core i5 (12th Gen),Intel,16,16, DDR4 RAM ,3.3,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,21180000
Lenovo,Lenovo Yoga 9i,Intel Core i7 (13th Gen),Intel,16,16, LPDDR5 RAM ,3.4,LED,14.0,Integrated Graphics,Intel,1024,0,75.0,Windows 11,0,52707000
HP,HP Pavilion x360 14-dy1009TU,Intel Core i5 (11th Gen),Intel,4,8, DDR4 RAM ,4.2,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,22770000
Gigabyte,Gigabyte AERO 5 XE4,Intel Core i7 (12th Gen),Intel,0,16, DDR4 RAM,2.3,LCD,15.6,GeForce RTX 3070 Ti,NVIDIA,1024,0,65.0,Windows 11,8,49859700
HP,HP Spectre Intel Evo 13-ef0054TU  x360 13-ef0054TU,Intel Core i7 (12th Gen),Intel,0,16, LPDDR4X RAM,4.7,LED,13.5,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,45597000
Microsoft,Microsoft Pro 9 Intel Evo  Surface Pro 9,Intel Core i7 (12th Gen),Intel,0,32, LPDDR5 RAM,4.7,LCD,13.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,78597000
HP,HP 250 G8,Intel Core i5 (11th Gen),Intel,32,8, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,DOS,0,17369700
ASUS,ASUS ROG Zephyrus Duo 16 GX650RMZ-LS019WS,AMD Octa-Core Ryzen 7,AMD,64,32, DDR5 RAM ,4.7,LCD,16.0,GeForce RTX 3060,NVIDIA,2048,0,65.0,Windows 11,6,75597000
Lenovo,Lenovo ThinkBook 14 G6,Intel Core i3 (13th Gen),Intel,64,8, DDR5 RAM ,4.2,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,13197000
Dell,Dell Inspiron 14 5415,AMD Octa-Core Ryzen 7 Processor,AMD,0,16, DDR4 RAM,2.5,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,20679300
Lenovo,Lenovo Yoga Slim 6i 14IRP8,Intel Core i5 (13th Gen),Intel,16,16, LPDDR5 RAM ,3.4,LED,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,23997000
MSI,MSI Prestige Intel Evo A13M-266IN 16 Evo A13M-266IN,Intel Core i7 (13th Gen),Intel,0,16, LPDDR5 RAM,4.8,LCD,16.0,Integrated Graphics,Intel,1024,0,100.0,Windows 11,0,37616700
ASUS,ASUS ROG Flow X13 GV301QH-K6028TS,AMD Octa-Core Ryzen 7 Processor,AMD,0,16, DDR4 RAM,2.5,LED,13.4,GeForce GTX 1650,NVIDIA,1024,0,74.0,Windows 10,4,28470000
Lenovo,Lenovo Legion Pro 5 16IRX8,Intel Core i7 (13th Gen),Intel,32,32, DDR5 RAM ,1.5,LCD,16.0,GeForce RTX 4070,NVIDIA,1024,0,65.0,Windows 11,8,51897000
ASUS,ASUS Zenbook Flip 14 OLED UP5401ZA-KN711WS,Intel Core i7 (12th Gen),Intel,0,16, LPDDR5 RAM,2.3,LED,14.0,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,43497000
MSI,MSI Modern 14 C13M-438IN,Intel Core i3 (13th Gen),Intel,8,8, DDR4 RAM ,4.2,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11397000
ASUS,ASUS VivoBook 15 X1502ZA-EJ592WS,Intel Core i5 (12th Gen),Intel,16,16, DDR4 RAM ,1.7,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,18894000
ASUS,ASUS EeeBook 14 E410KA-BV002W,Intel Celeron Dual-Core,Intel,0,4, DDR4 RAM,2.8,LCD,14.0,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,8539500
Huawei,Huawei MateBook X Pro,Intel Core i7 (11th Gen),Intel,16,16, LPDDR4 RAM ,4.0,LCD,14.0,Integrated Graphics,NVIDIA,1024,0,56.0,Windows 10,0,44997000
HP,HP Victus 16-e0352AX,AMD Hexa-Core Ryzen 5,AMD,32,8, DDR4 RAM ,4.2,LCD,16.1,GeForce GTX 1650,NVIDIA,512,0,70.0,Windows 11,4,16799700
ASUS,ASUS TUF Gaming A15 FA506IC-HN100W,AMD Octa-Core Ryzen 7,AMD,32,8, DDR4 RAM ,2.9,LCD,15.6,GeForce RTX 3050,NVIDIA,1024,0,65.0,Windows 11,4,24297000
Dell,Dell XPS 13 Plus 9320,Intel Core i7 (12th Gen),Intel,0,16, LPDDR5 RAM,3.4,LCD,13.4,Integrated Graphics,Intel,1024,0,65.0,Windows 11,0,50997000
MSI,MSI GP75 Leopard 10SFK-076IN,Intel Core i7 (10th Gen),Intel,32,16, DDR4 RAM ,2.6,LED,17.3,GeForce RTX 2070,NVIDIA,512,1024,180.0,Windows 10,8,54000000
HP,HP 14s-DY2501TU,Intel Core i3 (11th Gen),Intel,0,8, DDR4 RAM,4.0,LED,14.0,Integrated Graphics,Intel,256,0,65.0,Windows 10,0,11250000
ASUS,ASUS VivoBook 15 X515EA-EJ342WS,Intel Core i3 (11th Gen),Intel,0,16, DDR4 RAM,3.0,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,10797000
Acer,Acer Spin 7 SP714-51,Intel Core i7 (7th Gen),Intel,0,8, LPDDR3 RAM,1.3,LED,14.0,Integrated Graphics,Intel,256,0,45.0,Windows 10,0,26162100
Infinix,Infinix INBook Y1 Plus XL28 1INBook Y1 Plus XL28,Intel Core i3 (10th Gen),Intel,0,8, LPDDR4X RAM,1.2,LCD,15.6,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,8397000
HP,HP 15s-fy5004TU,Intel Core i3 (12th Gen),Intel,16,16, DDR4 RAM ,0.8,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,12075000
HP,HP Pavilion 15-EG2018TX,Intel Core i5 (12th Gen),Intel,0,16, DDR4 RAM,4.7,LCD,15.6,GeForce MX550,NVIDIA,512,0,41.0,Windows 11,2,22197000
ASUS,ASUS VivoBook Go 15 E1504FA-NJ322WS,AMD Quad-Core Ryzen 3,AMD,0,8, LPDDR5 RAM,2.4,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,10797000
ASUS,ASUS TUF Gaming F15 FX506HF-HN076W,Intel Core i5 (11th Gen),Intel,0,16, DDR4 RAM,2.9,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,150.0,Windows 11,4,16197000
Samsung,Samsung Galaxy Book 2 15.6,Intel Core i5 (12th Gen),Intel,32,16, DDR4 RAM ,4.2,LED,15.6,Integrated Graphics,Intel,512,0,43.0,Windows 11,0,16197000
ASUS,ASUS VivoBook Go 15 E1504FA-NJ321WS,AMD Quad-Core Ryzen 3,AMD,0,8, LPDDR5 RAM,4.0,LCD,15.6,Integrated Graphics,AMD,512,0,45.0,Windows 11,0,10797000
HP,HP 15s-fy5003TU,Intel Core i3 (12th Gen),Intel,16,8, DDR4 RAM ,0.8,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11097000
Lenovo,Lenovo Ideapad 310,Intel Core i5 (6th Gen),Intel,12,8, DDR4 RAM ,2.3,LED,15.6,GeForce N16V-GMR1,NVIDIA,64,1024,65.0,Windows 10,2,14847000
ASUS,ASUS VivoBook 15 X1502ZA-EJ993WS,Intel Core i3 (12th Gen),Intel,0,16, DDR4 RAM,1.2,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,12597000
ASUS,ASUS Vivobook K15 OLED KM513UA-L503WS,AMD Hexa-Core Ryzen 5,AMD,0,8, DDR4 RAM,4.0,LCD,15.6,Integrated Graphics,AMD,256,1024,65.0,Windows 11,0,14397000
ASUS,ASUS VivoBook 15 X515EA-EJ312WS,Intel Core i3 (11th Gen),Intel,16,8, DDR4 RAM ,1.7,LCD,15.6,Integrated Graphics,Intel,256,0,45.0,Windows 11,0,9450000
ASUS,ASUS VivoBook 15 X1502ZA-EJ953WS,Intel Core i3 (12th Gen),Intel,16,8, DDR4 RAM ,1.2,LCD,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,11397000
Wings,Wings Nuvobook V1,Intel Core i5 (11th Gen),Intel,0,8, DDR4 RAM,2.5,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,8697000
ASUS,ASUS VivoBook Go 15 E510MA-EJ001W,Intel Celeron Dual-Core,Intel,0,4, DDR4 RAM,2.8,LCD,15.6,Integrated Graphics,Intel,256,0,33.0,Windows 11,0,5997000
Infinix,Infinix INBook X2 Slim XL23,Intel Core i3 (11th Gen),Intel,8,8, LPDDR4X RAM ,4.0,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,8997000
MSI,MSI GF63 Thin 12HW-012IN,Intel Core i5 (12th Gen),Intel,0,16, DDR4 RAM,3.3,LCD,15.6,Arc A370M,Intel,512,0,65.0,Windows 11,4,15747000
ASUS,ASUS VivoBook Go 14 E1404GA-NK321WS,Intel Core i3 (12th Gen),Intel,8,8, DDR4 RAM ,1.8,LCD,14.0,Integrated Graphics,Intel,512,0,45.0,Windows 11,0,10497000
Lenovo,Lenovo IdeaPad Gaming 3 15ARH7,AMD Octa-Core Ryzen 7,AMD,16,16, DDR5 RAM ,3.1,LCD,15.6,GeForce RTX 3050,NVIDIA,512,0,65.0,Windows 11,4,20997000
HP,HP Pavilion 15-eg3079TU,Intel Core i5 (13th Gen),Intel,16,16, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,20697000
